        t                      X1                     X2                     X3                     X4                     X5                     X6
        0.000000000000         0.000000000000         0.000000000000         0.000000000000         0.000000000000         0.000000000000         0.000000000000

        0.010000000000         0.000000103132         0.000039051214         0.000099632963         0.019865886183         0.000000007468         0.000002560387

        0.020000000000         0.000001471014         0.000284392989         0.000395148471         0.039081810583         0.000000085163         0.000015266160

        0.030000000000         0.000007089809         0.000917827086         0.000877240323         0.057090591663         0.000000369950         0.000045035532

        0.040000000000         0.000021661751         0.002099180690         0.001531177952         0.073366837528         0.000001062150         0.000097565557

        0.050000000000         0.000051339307         0.003957264820         0.002337191838         0.087430285494         0.000002411138         0.000176904552

        0.060000000000         0.000103374786         0.006582058623         0.003270986853         0.098857994469         0.000004697056         0.000285109431

        0.070000000000         0.000185699227         0.010018429271         0.004304370507         0.107295087062         0.000008209611         0.000422006172

        0.080000000000         0.000306447263         0.014261644597         0.005405980245         0.112463774979         0.000013225053         0.000585066951

        0.090000000000         0.000473446917         0.019254874145         0.006542091458         0.114170444425         0.000019982539         0.000769412097

        0.100000000000         0.000693694911         0.024888805946         0.007677485905         0.112310626995         0.000028661155         0.000967939303

        0.110000000000         0.000972838980         0.031003433258         0.008776358737         0.106871734486         0.000039358858         0.001171576619

        0.120000000000         0.001314688849         0.037391990013         0.009803241392         0.097933492023         0.000052074522         0.001369649929

        0.130000000000         0.001720776928         0.043806938232         0.010723917260         0.085666061343         0.000066694185         0.001550350171

        0.140000000000         0.002189988473         0.049967837632         0.011506307206         0.070325903681         0.000082982371         0.001701280701

        0.150000000000         0.002718278878         0.055570859382         0.012121302845         0.052249487936         0.000100579203         0.001810061125

        0.160000000000         0.003298493109         0.060299644728         0.012543526761         0.031845003315         0.000119003717         0.001864960865

        0.170000000000         0.003920298997         0.063837157003         0.012752000729         0.009582285095         0.000137663549         0.001855533792

        0.180000000000         0.004570242397         0.065878134131         0.012730705298        -0.014018793700         0.000155870843         0.001773224542

        0.190000000000         0.005231928124         0.066141719542         0.012469016811        -0.038401174108         0.000172863963         0.001611917688

        0.200000000000         0.005886326262         0.064383833552         0.011962011022        -0.062984385502         0.000187834303         0.001368402798

        0.210000000000         0.006512199059         0.060408845326         0.011210625787        -0.087178898818         0.000199957216         0.001042731380

        0.220000000000         0.007086639249         0.054080117852         0.010221678797        -0.110400701479         0.000208425891         0.000638445898

        0.230000000000         0.007585706501         0.045329024668         0.009007739986        -0.132085731760         0.000212486824         0.000162666036

        0.240000000000         0.007985144871         0.034162076793         0.007586861771        -0.151703814543         0.000211475380        -0.000373976814

        0.250000000000         0.008261160750         0.020665850407         0.005982173895        -0.168771753320         0.000204849948        -0.000957559589

        0.260000000000         0.008391238048         0.005009468819         0.004221352908        -0.182865254943         0.000192223119        -0.001571238365

        0.270000000000         0.008354965199        -0.012555535604         0.002335979496        -0.193629393111         0.000173388451        -0.002195759690

        0.280000000000         0.008134847264        -0.031698074613         0.000360799552        -0.200787353415         0.000148341479        -0.002810096003

        0.290000000000         0.007717075833        -0.052013083511        -0.001667092687        -0.204147245836         0.000117293849        -0.003392183078

        0.300000000000         0.007092229791        -0.073029751761        -0.003709129258        -0.203606818935         0.000080679664        -0.003919732577

        0.310000000000         0.006255881146        -0.094222243863        -0.005726179245        -0.199155962290         0.000039153470        -0.004371089011

        0.320000000000         0.005209082187        -0.115022666732        -0.007679473252        -0.190876938767        -0.000006420421        -0.004726097730

        0.330000000000         0.003958713039        -0.134835962506        -0.009531518808        -0.178942344571        -0.000054987196        -0.004966949270

        0.340000000000         0.002517672271        -0.153056336449        -0.011246984230        -0.163610851303        -0.000105328983        -0.005078965418

        0.350000000000         0.000904897393        -0.169084770591        -0.012793529230        -0.145220839037        -0.000156099729        -0.005051293837

        0.360000000000        -0.000854793158        -0.182347126949        -0.014142561974        -0.124182081450        -0.000205866433        -0.004877480902

